word,mse_small_child,mse_medium_child,mse_small_medium
fall,0.2058148676271738,0.2790358691778429,0.0081533053566449
giraffe,0.0935801711604063,0.0739755523528051,0.0056879808089275
glasses,0.2142176607995517,0.2071471934830826,0.0009287247487383
grass,0.2583256728401139,0.246026870664148,0.0014253094201272
happy,0.2271695220571268,0.2521234150086725,0.0037119293192671
house,0.1850521938210958,0.2657507490282515,0.0198048890458811
ice,0.1968547114291464,0.213351659416617,0.0020352382333396
kitchen,0.207614398999267,0.2797403164752003,0.0077008929742714
love,0.2179631182089726,0.2726409377065457,0.010642437150574
noodles,0.1382983615722529,0.0891947854671541,0.0171734591072251
orange,0.2136862981906842,0.2280887984958548,0.0009597328853717
pancake,0.0909827832914594,0.0860970719976738,0.0027208740865391
plate,0.2028928626893455,0.2564927739037545,0.0073481130168819
red,0.223282113937438,0.2811629090909091,0.0148200751365287
run,0.2558058394415826,0.2840677261020605,0.0031914985255557
see,0.2623873721900077,0.2698490906370099,0.0004149094776039
slide,0.1686926621091183,0.2076441039346041,0.0046402540612125
swing,0.1299041763125214,0.1770366744015538,0.0263540907464131
table,0.2199614511044154,0.250240933933874,0.005796658883867
tickle,0.0687306593041645,0.0664356331018276,0.0001195960101034
tiger,0.0974631391714753,0.1213269743615885,0.0054146979291148
toast,0.1466794600218776,0.125339206824358,0.0122694522149931
towel,0.2508239786757364,0.2244244023414946,0.0019786291197556
wash,0.2574605588145309,0.2622850890549376,0.0014504071937739
yellow,0.2382816417378289,0.2492363541514312,0.0011445799445763
animal,0.1975612739958371,0.2575515124296607,0.0058800187926506
asleep,0.2360132472855834,0.2680894306703398,0.0022774428124062
blow,0.1320846418578036,0.2363688407110565,0.0191801042710514
boy,0.2076115357070902,0.2294771533500872,0.003296362865031
breakfast,0.2516392879527307,0.2542401653729289,0.0013577268880181
broom,0.127716551996804,0.1972436086219188,0.030304528501733
chocolate,0.3976148780259638,0.2481318740303248,0.0444310039482643
clock,0.1513547333032444,0.2155059518196816,0.0095131562891836
close,0.2211437893884417,0.2632067924775838,0.0089705437832084
cook,0.1803099406133153,0.1957537822332258,0.0114210156413142
corn,0.2445869590113438,0.2489237363431931,0.0009211687611568
couch,0.2434857797420661,0.2327606140532808,0.001890342676842
dinner,0.226307613769903,0.2536986991429041,0.0010503575916758
doctor,0.1591853661333583,0.272757198175295,0.0191476202720476
fix,0.2895564907813639,0.1834876333217585,0.0345718701487242
get,0.2677227682664486,0.2685689256742252,1.863378237411541e-05
girl,0.1703293832215214,0.2394707145680523,0.0089474488264838
good,0.2571214512146895,0.257150456838968,6.599644364690934e-08
green,0.2084219215318398,0.2648270364950481,0.0052303870481892
helicopter,0.2675174868154524,0.1349974227126443,0.0287691972612356
hide,0.2755938921885108,0.1620050499150823,0.0272112141752556
hit,0.2556797882165958,0.2891871927226813,0.0091915156226957
hungry,0.2463268694616222,0.2532898847513478,0.001714892465954
hurt,0.1611790047226808,0.2764884019652524,0.0223043808053521
i,0.2130460032676132,0.2502592279365437,0.0104669739421865
kick,0.1739556485061483,0.2572952066736779,0.0129643516974807
look,0.2547112250684138,0.2851477032399618,0.0045616100102404
lunch,0.188896040441674,0.2503598376317741,0.006176538116959
medicine,0.249503068858835,0.2467123733174623,0.0052391164834186
money,0.2340351826542339,0.2626829747537719,0.0064260500120321
my,0.2623998269615064,0.2624548957754116,2.4968901796875824e-07
napkin,0.1348826757699998,0.0999057047094639,0.0072280634789017
night,0.1805388534991855,0.2382155154017948,0.0088897255662522
pen,0.2054545650251619,0.2227691953413908,0.0012500525860838
picture,0.2389187829631605,0.274280093721239,0.0077516550178974
pool,0.1780055188436284,0.2450813293401816,0.0096042057095631
popcorn,0.1355090992616581,0.2050858724543497,0.0300428157497424
push,0.2455387079389107,0.2675684838976128,0.0035549679318937
puzzle,0.2591733312670138,0.2702879333323358,0.0030534284352394
raisin,0.1185697500592582,0.0872443997082745,0.0050853964096709
ride,0.2149578032693135,0.2762016752696941,0.0059152069586868
room,0.2184053228837809,0.2770432669222872,0.0080485085631998
school,0.2000342561251385,0.2685796997545194,0.0076465303376598
shower,0.2085695364794167,0.2414612106185399,0.0039306228454885
sing,0.2549870396115542,0.2711597460430353,0.0023169867303028
sky,0.2155645082295164,0.2486578187612926,0.0018469885532123
soup,0.2637784880762166,0.2523733481864161,0.0028651955520828
spaghetti,0.1246228187471411,0.2081746932346538,0.0547520670703923
stairs,0.2666148881286622,0.2599803249813998,0.0046285721528886
stick,0.1876804124612912,0.2523737414945127,0.0104663375512982
store,0.1963842002556757,0.2765454324034589,0.0123158583482757
story,0.2542873670576567,0.2712411762460088,0.0025266220359669
stroller,0.0877103068010145,0.0878796247820024,0.001286693152922
swim,0.3036022897041442,0.2626301142858572,0.0024318910271763
that,0.2164590870371217,0.2166296333832809,1.911240536988491e-06
throw,0.2468426499594383,0.2779269518694753,0.0086797560567177
trash,0.2371188034550751,0.2033585507964178,0.0024389027808845
vacuum,0.2570163470474843,0.1437867456215262,0.0261364392485551
what,0.2395924474214328,0.2452235324470317,0.0003330634857522
you,0.2579360466785224,0.2657259705850773,0.0005163023324279
zebra,0.0880071075922064,0.0878007923651007,0.0004660905561443
work,0.2705185576989745,0.2742972470275673,0.0002942376433338
ant,0.2766623715244247,0.2587683176426212,0.0023642960528019
